Source,/Users/GB080220/workspace/circuits/EffectsPedals/TremoloPedals/Atomizer/hardware/Atomizer.sch
Kicad Rev,Eeschema (5.0.0-3-g5ebb6b6)
Generated Date,Friday, 28 December 2018 at 22:15:21

Title,Not Set
Company,Not Set
Revision,Not Set
Date Issue,Not Set

Reference,Value,Mfr. No:,Mfr:,MouserNo,Package/Case,Type,Diameter,ESR,Tolerance,Voltage Rating DC,Field4,Field5,Library,Library Ref
U_INV1,TC7662Bx0A,TC7660SEOA713,Microchip Technology,579-TC7660SEOA713,SOIC-8,Switching Voltage Regulators High Voltage,,,,,,,Converter_DCDC,TC7662Bx0A
CP_INV2,10uF,,,140-VE100M1CTR0405,,,,,,,,,Device,CP
CP_INV1,10uF,,,140-VE100M1CTR0405,,,,,,,,,Device,CP
U_PREG1,LM317_3PinPackage,LM317DCYR,Texas Instruments,595-LM317DCYR,SOT-223-4,Linear Voltage Regulators 3 Term Adj. Pos.,,,,,,,Regulator_Linear,LM317_3PinPackage
R2,330R,,,71-CRCW0805330RFKEAC,0805,1%,,,,,,,Device,R
R1,1K,,,279-CRGP0805F1K0,0805,1%,,,,,,,Device,R
R4,270R,,,667-ERJ-6ENF2700V,0805,1%,,,,,,,Device,R
R5,47R,,,667-ERJ-6ENF47R0V,0805,,,,,,,,Device,R
R3,1K,,,279-CRGP0805F1K0,0805,,,,,,,,Device,R
U_BUF1,TL072,TL072SG-13,Diodes Incorporated,621-TL072SG-13,SO-8,JFET INPUT OP AMP LOW NOISE,,,,,,,Amplifier_Operational,TL072
P_DEPTH1,B50k,RK09L1140A5P,ALPS,688-RK09L1140A5P,,1GANG LINEAR 20% FLATTED 1TURN,,,,,,,Device,R_POT
P_VOL1,B10K,RK09L1140A66,ALPS,688-RK09L1140A66,,1GANG LINEAR 20% FLATTED 1TURN,,,,,,,Device,R_POT
R_GAIN1,2K7,,,279-CRGCQ0805F2K7,,,,,,,,,Device,R
J_PWR1,Jack-DC,RAPC722X,Switchcraft,502-RAPC722X,,DC Power Connectors RT ANGL PWK JK PIN D,,,,,,,Connector,Jack-DC
C_BP3,100nF,,,710-885012207098,0805,,,,,,,,Device,C
C_BP4,100nF,,,710-885012207098,0805,,,,,,,,Device,C
C_BP5,100nF,,,710-885012207098,0805,,,,,,,,Device,C
U_NREG1,LM337_SOT223,LM337IMP/NOPB,Texas Instruments,926-LM337IMP/NOPB,SOT-223-4,Linear Voltage Regulators 3-TERMINAL ADJ NEG REG,,,,,,,Regulator_Linear,LM337_SOT223
J_OUT1,JACK__MONO_2P_NC,NRJ4HF-1,Neutrik,550-10284G,,Phone Connectors W/CHASSIS GROUND,,,,,,,socket_custom,JACK__MONO_2P_NC
J_IN1,JACK__MONO_2P_NC,NRJ4HF-1,Neutrik,550-10284G,,Phone Connectors W/CHASSIS GROUND,,,,,,,socket_custom,JACK__MONO_2P_NC
R_PD1,22M,,,755-UCR10EVHFSR022,0805,,,,,,,,Device,R
D_LED1,LED,,,859-LTL-307EE,,,,,,,,,Device,LED
R_LPF1,1K,,,279-CRGP0805F1K0,0805,1%,,,,,,,Device,R
CP_FAST1,22uF,875105240003,Wurth,710-875105240003,,Aluminium Organic Polymer Capacitors WCAP-PSLP 10V 22uF 20%,4mm,45mOhms,20%,10 DC,,,Device,CP
P_OSCON1,B10K,RK09L1140A66,ALPS,688-RK09L1140A66,,1GANG LINEAR 20% FLATTED 1TURN,,,,,,,Device,R_POT
R_OSCON1,1K,,,279-CRGP0805F1K0,0805,1%,,,,,,,Device,R
